,base_smiles,ligand_smiles,substrate_smiles,additive_smiles,product_smiles,yield,additive_id,substrate_id,base_name,ligand_name
47,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(I)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,18.28 ,a2,s3,P2Et,XPhos
48,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Cl)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,2.48 ,a2,s4,P2Et,XPhos
49,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Br)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,6.12 ,a2,s5,P2Et,XPhos
50,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(I)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,5.45 ,a2,s6,P2Et,XPhos
51,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Cl)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,7.80 ,a2,s7,P2Et,XPhos
52,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Br)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,14.23 ,a2,s8,P2Et,XPhos
53,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(I)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,15.41 ,a2,s9,P2Et,XPhos
54,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Clc1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,9.47 ,a2,s10,P2Et,XPhos
55,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,15.24 ,a2,s11,P2Et,XPhos
56,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Ic1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,19.59 ,a2,s12,P2Et,XPhos
57,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Clc1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,7.787908452000001,a2,s13,P2Et,XPhos
58,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,9.68 ,a2,s14,P2Et,XPhos
59,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Ic1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,13.18 ,a2,s15,P2Et,XPhos
60,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(Cl)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.02 ,a2,s1,BTMG,XPhos
61,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(Br)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,30.59 ,a2,s2,BTMG,XPhos
62,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(I)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,38.16 ,a2,s3,BTMG,XPhos
63,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Cl)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,0.46 ,a2,s4,BTMG,XPhos
64,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Br)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,3.87 ,a2,s5,BTMG,XPhos
65,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(I)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,7.02 ,a2,s6,BTMG,XPhos
66,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Cl)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,2.85 ,a2,s7,BTMG,XPhos
67,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Br)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,18.87 ,a2,s8,BTMG,XPhos
68,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(I)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,25.07 ,a2,s9,BTMG,XPhos
69,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Clc1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,21.67 ,a2,s10,BTMG,XPhos
70,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,48.49 ,a2,s11,BTMG,XPhos
71,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Ic1ccccn1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccccn2)cc1,58.61 ,a2,s12,BTMG,XPhos
72,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Clc1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,4.169292721000001,a2,s13,BTMG,XPhos
73,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,11.38 ,a2,s14,BTMG,XPhos
74,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Ic1cccnc1,o1nccc1c2ccccc2,Cc1ccc(Nc2cccnc2)cc1,24.42 ,a2,s15,BTMG,XPhos
75,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(Cl)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.97 ,a2,s1,MTBD,XPhos
76,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(Br)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,30.29 ,a2,s2,MTBD,XPhos
77,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(I)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,39.58 ,a2,s3,MTBD,XPhos
78,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Cl)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,0.34 ,a2,s4,MTBD,XPhos
79,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(Br)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,3.12 ,a2,s5,MTBD,XPhos
80,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,COc1ccc(I)cc1,o1nccc1c2ccccc2,COc1ccc(Nc2ccc(C)cc2)cc1,5.14 ,a2,s6,MTBD,XPhos
81,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Cl)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,3.92 ,a2,s7,MTBD,XPhos
82,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(Br)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,15.40 ,a2,s8,MTBD,XPhos
83,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CCc1ccc(I)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,22.45 ,a2,s9,MTBD,XPhos
